algorithm,hits,hr,time,batch_size,test_size,test_interactions
LinUCB (incremental),732,0.1158227848101265,18.60341501235962,100.0,0.65,6320
LinGreedy (incremental),770,0.1218354430379746,17.296735763549805,100.0,0.65,6320
LinUCB (incremental),688,0.1088607594936708,3.158789873123169,1000.0,0.65,6320
LinGreedy (incremental),705,0.1115506329113924,3.0154566764831543,1000.0,0.65,6320
ALS,969,0.1412124744972311,2.1114501953125,,0.7,6862
LinUCB (non_incremental),353,0.0514427280676187,1.1152255535125732,,0.7,6862
LinGreedy (non_incremental),471,0.0686388807927717,0.9575283527374268,,0.7,6862
LinUCB (incremental),539,0.0785485281259108,1156.751582622528,1.0,0.7,6862
LinGreedy (incremental),609,0.0887496356747304,1128.2062091827393,1.0,0.7,6862
LinUCB (incremental),739,0.1076945496939667,261.3209328651428,5.0,0.7,6862
LinGreedy (incremental),822,0.1197901486447099,249.39299249649048,5.0,0.7,6862
LinUCB (incremental),818,0.1192072282133488,139.5673704147339,10.0,0.7,6862
LinGreedy (incremental),893,0.1301369863013698,132.05860662460327,10.0,0.7,6862
LinUCB (incremental),798,0.1162926260565432,20.81588888168335,100.0,0.7,6862
LinGreedy (incremental),846,0.1232876712328767,19.38193106651306,100.0,0.7,6862
LinUCB (incremental),661,0.0963276012824249,3.5138988494873047,1000.0,0.7,6862
LinGreedy (incremental),699,0.1018653453803555,3.188295364379883,1000.0,0.7,6862
ALS,948,0.1280561934350939,2.259775400161743,,0.75,7403
LinUCB (non_incremental),391,0.0528164257733351,1.2180209159851074,,0.75,7403
LinGreedy (non_incremental),529,0.0714575172227475,1.0685536861419678,,0.75,7403
LinUCB (incremental),526,0.071052276104282,1386.9664840698242,1.0,0.75,7403
LinGreedy (incremental),667,0.0900986086721599,1260.7378528118134,1.0,0.75,7403
LinUCB (incremental),743,0.1003647170066189,281.5975453853607,5.0,0.75,7403
LinGreedy (incremental),843,0.1138727542888018,269.19966530799866,5.0,0.75,7403
LinUCB (incremental),831,0.1122517898149398,151.3649628162384,10.0,0.75,7403
LinGreedy (incremental),877,0.118465486964744,142.2029674053192,10.0,0.75,7403
LinUCB (incremental),828,0.1118465486964744,21.681876182556152,100.0,0.75,7403
LinGreedy (incremental),880,0.1188707280832095,20.56593632698059,100.0,0.75,7403
LinUCB (incremental),736,0.0994191543968661,3.602043390274048,1000.0,0.75,7403
LinGreedy (incremental),735,0.0992840740240443,3.487932205200196,1000.0,0.75,7403
ALS,870,0.1106588654286441,2.399447441101074,,0.8,7862
LinUCB (non_incremental),307,0.03904858814551,1.233811378479004,,0.8,7862
LinGreedy (non_incremental),522,0.0663953192571864,1.107229709625244,,0.8,7862
LinUCB (incremental),534,0.0679216484355125,1441.764881849289,1.0,0.8,7862
LinGreedy (incremental),653,0.08305774612058,1300.7999036312103,1.0,0.8,7862
LinUCB (incremental),752,0.0956499618417705,301.9523823261261,5.0,0.8,7862
LinGreedy (incremental),876,0.1114220300178071,287.21874499320984,5.0,0.8,7862
LinUCB (incremental),850,0.1081149834647672,160.7475368976593,10.0,0.8,7862
LinGreedy (incremental),941,0.119689646400407,151.85959029197693,10.0,0.8,7862
LinUCB (incremental),893,0.1135843296871025,23.82499647140503,100.0,0.8,7862
LinGreedy (incremental),965,0.1227423047570592,21.879038333892822,100.0,0.8,7862
LinUCB (incremental),796,0.1012465021622996,3.819721937179565,1000.0,0.8,7862
LinGreedy (incremental),852,0.1083693716611549,3.752475500106812,1000.0,0.8,7862
ALS,876,0.1056694813027744,4.013939380645752,,0.85,8290
LinUCB (non_incremental),322,0.0388419782870928,1.715217351913452,,0.85,8290
LinGreedy (non_incremental),529,0.0638118214716526,1.8864383697509768,,0.85,8290
LinUCB (incremental),554,0.0668275030156815,1587.368953704834,1.0,0.85,8290
LinGreedy (incremental),675,0.0814234016887816,1618.6176676750183,1.0,0.85,8290
LinUCB (incremental),787,0.0949336550060313,324.4355483055115,5.0,0.85,8290
LinGreedy (incremental),906,0.1092882991556091,362.0368967056274,5.0,0.85,8290
LinUCB (incremental),859,0.1036188178528347,185.23217272758484,10.0,0.85,8290
LinGreedy (incremental),937,0.113027744270205,191.5363430976868,10.0,0.85,8290
LinUCB (incremental),886,0.106875753920386,32.58923053741455,100.0,0.85,8290
LinGreedy (incremental),954,0.1150784077201447,30.841700077056885,100.0,0.85,8290
LinUCB (incremental),783,0.0944511459589867,5.7446606159210205,1000.0,0.85,8290
LinGreedy (incremental),820,0.0989143546441495,5.269547939300537,1000.0,0.85,8290
ALS,824,0.0968386414384769,3.5978124141693115,,0.9,8509
LinUCB (non_incremental),389,0.0457163003878246,1.882800817489624,,0.9,8509
LinGreedy (non_incremental),580,0.0681631214008696,1.6137926578521729,,0.9,8509
LinUCB (incremental),523,0.0614643318838876,1836.5686211586,1.0,0.9,8509
LinGreedy (incremental),659,0.0774474086261605,1552.2167196273804,1.0,0.9,8509
LinUCB (incremental),719,0.0844987660124574,354.3254280090332,5.0,0.9,8509
LinGreedy (incremental),823,0.0967211188153719,333.7443974018097,5.0,0.9,8509
LinUCB (incremental),777,0.0913150781525443,197.2393901348114,10.0,0.9,8509
LinGreedy (incremental),855,0.1004818427547302,190.38422775268555,10.0,0.9,8509
LinUCB (incremental),776,0.0911975555294394,30.389355659484863,100.0,0.9,8509
LinGreedy (incremental),864,0.1015395463626748,27.224127292633057,100.0,0.9,8509
LinUCB (incremental),727,0.0854389469972969,6.038569688796997,1000.0,0.9,8509
LinGreedy (incremental),818,0.0961335056998472,4.557574987411499,1000.0,0.9,8509
ALS,749,0.0908760009706382,3.594003915786743,,0.95,8242
LinUCB (non_incremental),556,0.0674593545256005,1.7518129348754885,,0.95,8242
LinGreedy (non_incremental),556,0.0674593545256005,1.6906373500823977,,0.95,8242
LinUCB (incremental),486,0.0589662703227372,1525.395607471466,1.0,0.95,8242
LinGreedy (incremental),584,0.0708565882067459,1568.21506357193,1.0,0.95,8242
LinUCB (incremental),558,0.0677020140742538,358.97043538093567,5.0,0.95,8242
LinGreedy (incremental),691,0.0838388740596942,355.72746086120605,5.0,0.95,8242
LinUCB (incremental),574,0.0696432904634797,193.94955015182487,10.0,0.95,8242
LinGreedy (incremental),727,0.0882067459354525,167.7957239151001,10.0,0.95,8242
LinUCB (incremental),599,0.0726765348216452,25.70362901687622,100.0,0.95,8242
LinGreedy (incremental),700,0.0849308420286338,23.373371839523315,100.0,0.95,8242
LinUCB (incremental),592,0.0718272264013589,4.238766193389893,1000.0,0.95,8242
LinGreedy (incremental),689,0.083596214511041,3.996951103210449,1000.0,0.95,8242
