algorithm,hits,hr,time,hiperparams,batch_size,test_size,test_interactions
LinGreedy (incremental),216,0.102127659574468,0.9471681118011476,{'epsilon': 0.01},1000.0,0.25,2115
LinGreedy (incremental),216,0.102127659574468,0.900092363357544,{'epsilon': 0.05},1000.0,0.25,2115
LinGreedy (incremental),199,0.0940898345153664,0.9488606452941896,{'epsilon': 0.1},1000.0,0.25,2115
LinGreedy (incremental),204,0.0964539007092198,0.8973419666290283,{'epsilon': 0.25},1000.0,0.25,2115
LinGreedy (incremental),156,0.0737588652482269,0.9442930221557616,{'epsilon': 0.5},1000.0,0.25,2115
ALS,648,0.2460136674259681,0.9236972332000732,{},,0.3,2634
LinUCB (non_incremental),231,0.0876993166287015,0.4210011959075928,{'alpha': 0.1},,0.3,2634
LinUCB (non_incremental),213,0.0808656036446469,0.4153540134429931,{'alpha': 0.5},,0.3,2634
LinUCB (non_incremental),202,0.0766894457099468,0.3997132778167724,{'alpha': 1},,0.3,2634
LinUCB (non_incremental),192,0.0728929384965831,0.4464051723480224,{'alpha': 1.5},,0.3,2634
LinUCB (non_incremental),175,0.0664388762338648,0.4223973751068115,{'alpha': 2},,0.3,2634
LinGreedy (non_incremental),232,0.0880789673500379,0.3502967357635498,{'epsilon': 0.01},,0.3,2634
LinGreedy (non_incremental),236,0.0895975702353834,0.3415911197662353,{'epsilon': 0.05},,0.3,2634
LinGreedy (non_incremental),230,0.0873196659073652,0.3525536060333252,{'epsilon': 0.1},,0.3,2634
LinGreedy (non_incremental),204,0.0774487471526196,0.3640961647033691,{'epsilon': 0.25},,0.3,2634
LinGreedy (non_incremental),176,0.0668185269552012,0.3586609363555908,{'epsilon': 0.5},,0.3,2634
LinUCB (incremental),295,0.1119969627942293,51.60749650001526,{'alpha': 0.1},10.0,0.3,2634
LinUCB (incremental),286,0.1085801063022019,50.46555995941162,{'alpha': 0.5},10.0,0.3,2634
LinUCB (incremental),264,0.1002277904328018,51.17506003379822,{'alpha': 1},10.0,0.3,2634
LinUCB (incremental),232,0.0880789673500379,51.36727142333984,{'alpha': 1.5},10.0,0.3,2634
LinUCB (incremental),224,0.085041761579347,56.66969108581543,{'alpha': 2},10.0,0.3,2634
LinGreedy (incremental),297,0.112756264236902,48.08477592468262,{'epsilon': 0.01},10.0,0.3,2634
LinGreedy (incremental),292,0.1108580106302202,47.631794691085815,{'epsilon': 0.05},10.0,0.3,2634
LinGreedy (incremental),289,0.109719058466211,48.079625368118286,{'epsilon': 0.1},10.0,0.3,2634
LinGreedy (incremental),268,0.1017463933181473,47.70692920684815,{'epsilon': 0.25},10.0,0.3,2634
LinGreedy (incremental),231,0.0876993166287015,48.19053816795349,{'epsilon': 0.5},10.0,0.3,2634
LinUCB (incremental),289,0.109719058466211,7.301906824111938,{'alpha': 0.1},100.0,0.3,2634
LinUCB (incremental),270,0.10250569476082,7.370507717132568,{'alpha': 0.5},100.0,0.3,2634
LinUCB (incremental),253,0.0960516324981017,7.348362922668457,{'alpha': 1},100.0,0.3,2634
LinUCB (incremental),233,0.0884586180713743,7.399075746536255,{'alpha': 1.5},100.0,0.3,2634
LinUCB (incremental),215,0.0816249050873196,7.397843837738037,{'alpha': 2},100.0,0.3,2634
LinGreedy (incremental),290,0.1100987091875474,6.904757499694824,{'epsilon': 0.01},100.0,0.3,2634
LinGreedy (incremental),285,0.1082004555808656,6.994833707809448,{'epsilon': 0.05},100.0,0.3,2634
LinGreedy (incremental),260,0.0987091875474563,6.99491810798645,{'epsilon': 0.1},100.0,0.3,2634
LinGreedy (incremental),260,0.0987091875474563,7.038077116012573,{'epsilon': 0.25},100.0,0.3,2634
LinGreedy (incremental),192,0.0728929384965831,7.032430171966553,{'epsilon': 0.5},100.0,0.3,2634
LinUCB (incremental),242,0.0918754745634016,1.34466814994812,{'alpha': 0.1},1000.0,0.3,2634
LinUCB (incremental),234,0.0888382687927107,2.123969554901123,{'alpha': 0.5},1000.0,0.3,2634
LinUCB (incremental),213,0.0808656036446469,1.5716230869293213,{'alpha': 1},1000.0,0.3,2634
LinUCB (incremental),199,0.0755504935459377,1.6731085777282717,{'alpha': 1.5},1000.0,0.3,2634
LinUCB (incremental),182,0.0690964312832194,1.7289807796478271,{'alpha': 2},1000.0,0.3,2634
LinGreedy (incremental),243,0.092255125284738,1.3913078308105469,{'epsilon': 0.01},1000.0,0.3,2634
LinGreedy (incremental),244,0.0926347760060744,1.3382480144500732,{'epsilon': 0.05},1000.0,0.3,2634
LinGreedy (incremental),232,0.0880789673500379,1.657489538192749,{'epsilon': 0.1},1000.0,0.3,2634
LinGreedy (incremental),218,0.0827638572513287,1.474822998046875,{'epsilon': 0.25},1000.0,0.3,2634
LinGreedy (incremental),189,0.071753986332574,1.6728816032409668,{'epsilon': 0.5},1000.0,0.3,2634
ALS,763,0.2417617237008872,1.694540023803711,{},,0.35,3156
LinUCB (non_incremental),279,0.088403041825095,0.9572737216949464,{'alpha': 0.1},,0.35,3156
LinUCB (non_incremental),261,0.0826996197718631,0.8118307590484619,{'alpha': 0.5},,0.35,3156
LinUCB (non_incremental),252,0.0798479087452471,1.0778348445892334,{'alpha': 1},,0.35,3156
LinUCB (non_incremental),221,0.0700253485424588,0.7166118621826172,{'alpha': 1.5},,0.35,3156
LinUCB (non_incremental),204,0.0646387832699619,0.7372329235076904,{'alpha': 2},,0.35,3156
LinGreedy (non_incremental),287,0.0909378960709759,0.5565042495727539,{'epsilon': 0.01},,0.35,3156
LinGreedy (non_incremental),277,0.0877693282636248,0.5132200717926025,{'epsilon': 0.05},,0.35,3156
LinGreedy (non_incremental),274,0.0868187579214195,0.6090149879455566,{'epsilon': 0.1},,0.35,3156
LinGreedy (non_incremental),237,0.0750950570342205,0.6025102138519287,{'epsilon': 0.25},,0.35,3156
LinGreedy (non_incremental),221,0.0700253485424588,0.6833014488220215,{'epsilon': 0.5},,0.35,3156
LinUCB (incremental),360,0.1140684410646387,75.59201121330261,{'alpha': 0.1},10.0,0.35,3156
LinUCB (incremental),331,0.1048795944233206,75.8651659488678,{'alpha': 0.5},10.0,0.35,3156
LinUCB (incremental),303,0.0960076045627376,76.09781646728516,{'alpha': 1},10.0,0.35,3156
LinUCB (incremental),279,0.088403041825095,75.04488515853882,{'alpha': 1.5},10.0,0.35,3156
LinUCB (incremental),248,0.0785804816223067,78.6294276714325,{'alpha': 2},10.0,0.35,3156
LinGreedy (incremental),366,0.1159695817490494,70.73104238510132,{'epsilon': 0.01},10.0,0.35,3156
LinGreedy (incremental),356,0.1128010139416983,71.69573593139648,{'epsilon': 0.05},10.0,0.35,3156
LinGreedy (incremental),353,0.111850443599493,68.98169302940369,{'epsilon': 0.1},10.0,0.35,3156
LinGreedy (incremental),287,0.0909378960709759,74.50162935256958,{'epsilon': 0.25},10.0,0.35,3156
LinGreedy (incremental),243,0.0769961977186311,61.150710582733154,{'epsilon': 0.5},10.0,0.35,3156
LinUCB (incremental),315,0.0998098859315589,9.94675898551941,{'alpha': 0.1},100.0,0.35,3156
LinUCB (incremental),293,0.0928390367553865,9.295003175735474,{'alpha': 0.5},100.0,0.35,3156
LinUCB (incremental),267,0.0846007604562737,9.134791374206545,{'alpha': 1},100.0,0.35,3156
LinUCB (incremental),246,0.0779467680608365,8.996050834655762,{'alpha': 1.5},100.0,0.35,3156
